hour,day,month,year,PM2.5,PM10,SO2,NO2,RAIN,TEMP
0,1,3,2013,8.0,8.0,6.0,28.0,0.0,-0.7
1,1,3,2013,9.0,9.0,6.0,28.0,0.0,-1.1
2,1,3,2013,3.0,6.0,7.0,19.0,0.0,-1.1
3,1,3,2013,11.0,30.0,8.0,14.0,0.0,-1.4
4,1,3,2013,3.0,13.0,9.0,15.5,0.0,-2.0
5,1,3,2013,3.0,6.0,8.0,17.0,0.0,-2.2
6,1,3,2013,3.0,3.0,10.0,21.0,0.0,-2.6
7,1,3,2013,3.0,6.0,11.0,26.0,0.0,-1.6
8,1,3,2013,7.0,10.0,14.0,39.0,0.0,0.1
9,1,3,2013,3.0,9.0,12.0,31.0,0.0,1.2
10,1,3,2013,3.0,8.0,12.0,30.0,0.0,1.9
11,1,3,2013,3.0,6.0,10.0,26.0,0.0,2.9
12,1,3,2013,6.0,9.0,11.0,22.0,0.0,3.9
13,1,3,2013,10.0,18.0,10.0,20.0,0.0,5.3
14,1,3,2013,10.0,15.0,10.0,22.0,0.0,6.0
15,1,3,2013,7.0,15.0,9.0,22.0,0.0,6.2
16,1,3,2013,12.0,22.0,10.0,25.0,0.0,5.9
17,1,3,2013,13.0,23.0,10.0,26.0,0.0,4.3
18,1,3,2013,11.0,25.0,12.0,32.0,0.0,3.1
19,1,3,2013,11.0,17.0,13.0,53.0,0.0,2.3
20,1,3,2013,9.0,19.0,14.0,55.0,0.0,1.7
21,1,3,2013,14.0,17.0,16.0,57.0,0.0,0.6
22,1,3,2013,15.0,20.0,17.0,71.0,0.0,0.9
23,1,3,2013,15.0,29.0,30.0,62.0,0.0,-0.2
0,2,3,2013,15.0,2.0,20.0,61.0,0.0,-0.4
1,2,3,2013,4.0,12.0,16.0,52.0,0.0,-1.0
2,2,3,2013,12.0,12.0,16.0,52.0,0.0,-1.5
3,2,3,2013,3.0,9.0,16.0,53.0,0.0,-1.4
4,2,3,2013,3.0,6.0,12.0,53.0,0.0,-1.5
5,2,3,2013,3.0,6.0,26.0,66.0,0.0,-1.8
6,2,3,2013,4.0,12.0,26.0,71.0,0.0,-2.5
7,2,3,2013,3.0,14.0,46.0,72.0,0.0,-1.7
8,2,3,2013,3.0,6.0,40.0,68.0,0.0,-0.4
9,2,3,2013,3.0,12.0,28.0,66.0,0.0,0.6
10,2,3,2013,3.0,10.0,31.0,72.0,0.0,1.7
11,2,3,2013,6.0,13.0,23.0,74.0,0.0,2.2
12,2,3,2013,16.0,18.0,24.0,73.0,0.0,2.7
13,2,3,2013,19.0,27.0,28.0,68.0,0.0,3.3
14,2,3,2013,32.0,36.0,23.0,63.0,0.0,3.8
15,2,3,2013,31.0,37.0,24.0,65.0,0.0,3.9
16,2,3,2013,34.0,42.0,32.0,73.0,0.0,3.5
17,2,3,2013,47.0,70.0,41.0,80.0,0.0,2.2
18,2,3,2013,58.0,83.0,49.0,85.0,0.0,1.2
19,2,3,2013,65.0,94.0,51.0,94.0,0.0,1.5
20,2,3,2013,78.0,108.0,55.0,101.0,0.0,1.2
21,2,3,2013,84.0,122.0,68.0,103.0,0.0,0.6
22,2,3,2013,88.0,132.0,65.0,104.0,0.0,-0.6
23,2,3,2013,84.0,116.0,62.0,100.0,0.0,-0.8
0,3,3,2013,88.0,127.0,69.0,98.0,0.0,-1.4
1,3,3,2013,104.0,145.0,78.0,97.0,0.0,-2.0
2,3,3,2013,106.0,142.0,72.0,94.0,0.0,-2.8
3,3,3,2013,96.0,147.0,55.0,88.0,0.0,-2.6
4,3,3,2013,89.0,130.0,54.0,88.0,0.0,-4.3
5,3,3,2013,79.0,102.0,48.0,89.0,0.0,-5.6
6,3,3,2013,81.0,107.0,50.0,86.0,0.0,-5.8
7,3,3,2013,90.0,140.0,45.0,83.0,0.0,-3.1
8,3,3,2013,100.0,171.0,51.0,82.0,0.0,0.7
9,3,3,2013,108.0,181.0,97.0,89.0,0.0,3.5
10,3,3,2013,100.0,147.0,90.0,94.0,0.0,6.5
11,3,3,2013,97.0,135.0,78.0,98.0,0.0,11.4
12,3,3,2013,101.0,134.0,79.0,109.0,0.0,13.8
13,3,3,2013,107.0,147.0,60.0,102.0,0.0,16.0
14,3,3,2013,84.0,114.0,25.0,67.0,0.0,16.7
15,3,3,2013,43.0,82.0,15.0,49.0,0.0,16.9
16,3,3,2013,26.0,89.0,22.0,61.0,0.0,16.4
17,3,3,2013,50.0,132.0,21.0,67.0,0.0,13.1
18,3,3,2013,41.0,93.0,28.0,77.0,0.0,8.7
19,3,3,2013,68.0,196.0,69.0,131.0,0.0,12.2
20,3,3,2013,145.0,294.0,39.0,97.0,0.0,11.7
21,3,3,2013,79.0,91.0,17.0,69.0,0.0,5.3
22,3,3,2013,24.0,40.0,18.0,83.0,0.0,3.1
23,3,3,2013,17.0,52.0,25.0,89.0,0.0,5.2
0,4,3,2013,19.0,70.0,45.0,90.0,0.0,7.7
1,4,3,2013,44.0,117.0,49.0,89.0,0.0,8.2
2,4,3,2013,42.0,93.0,24.0,67.0,0.0,8.1
3,4,3,2013,18.0,29.0,17.0,50.0,0.0,7.2
4,4,3,2013,10.0,23.0,20.0,40.0,0.0,6.0
5,4,3,2013,12.0,34.0,22.0,43.0,0.0,2.7
6,4,3,2013,8.0,30.0,24.0,52.0,0.0,3.8
7,4,3,2013,8.0,32.0,28.0,68.0,0.0,6.5
8,4,3,2013,12.0,61.0,36.0,74.0,0.0,9.0
9,4,3,2013,19.0,50.0,40.0,66.0,0.0,10.6
10,4,3,2013,14.0,25.0,23.0,49.0,0.0,11.9
11,4,3,2013,4.0,9.0,19.0,47.0,0.0,13.1
12,4,3,2013,11.0,19.0,17.0,44.0,0.0,14.2
13,4,3,2013,3.0,8.0,12.0,41.0,0.0,15.3
14,4,3,2013,3.0,8.0,11.0,43.0,0.0,15.2
15,4,3,2013,10.0,16.0,15.0,53.0,0.0,15.3
16,4,3,2013,18.0,23.0,18.0,61.0,0.0,14.5
17,4,3,2013,22.0,70.0,15.0,68.0,0.0,12.7
18,4,3,2013,29.0,70.0,17.0,79.0,0.0,11.6
19,4,3,2013,33.0,73.0,17.0,86.0,0.0,10.9
20,4,3,2013,34.0,84.0,25.0,88.0,0.0,9.9
21,4,3,2013,44.0,88.0,43.0,97.0,0.0,8.4
22,4,3,2013,62.0,109.0,51.0,103.0,0.0,8.6
23,4,3,2013,70.0,116.0,62.0,106.0,0.0,7.7
0,5,3,2013,87.0,153.0,55.0,104.0,0.0,4.7
1,5,3,2013,100.0,170.0,64.0,101.0,0.0,1.1
2,5,3,2013,113.0,167.0,62.5,99.0,0.0,-0.6
3,5,3,2013,129.0,179.0,61.0,92.0,0.0,0.2
4,5,3,2013,132.0,183.0,46.0,89.5,0.0,1.8
5,5,3,2013,128.0,189.0,55.0,87.0,0.0,0.6
6,5,3,2013,101.0,116.0,59.0,87.0,0.0,-0.2
7,5,3,2013,99.0,142.0,54.0,83.0,0.0,2.9
8,5,3,2013,100.0,158.0,77.0,87.0,0.0,5.1
9,5,3,2013,108.0,178.0,108.0,92.0,0.0,7.7
10,5,3,2013,132.0,223.0,98.0,98.0,0.0,9.4
11,5,3,2013,138.0,198.0,78.0,94.0,0.0,10.6
12,5,3,2013,115.0,173.0,86.0,95.0,0.0,11.9
13,5,3,2013,3.0,6.0,82.0,62.0,0.0,12.6
14,5,3,2013,3.0,138.0,82.0,123.0,0.0,13.5
15,5,3,2013,3.0,183.0,89.0,139.0,0.0,13.8
16,5,3,2013,167.0,195.0,92.0,150.0,0.0,13.2
17,5,3,2013,168.0,201.0,80.0,167.0,0.0,12.1
18,5,3,2013,182.0,225.0,98.0,177.0,0.0,9.0
19,5,3,2013,209.0,270.0,100.0,179.0,0.0,5.3
20,5,3,2013,225.0,293.0,89.0,169.0,0.0,3.3
21,5,3,2013,237.0,316.0,100.0,168.0,0.0,2.9
22,5,3,2013,270.0,343.0,98.0,172.0,0.0,5.2
23,5,3,2013,268.0,328.0,106.0,158.0,0.0,4.9
0,6,3,2013,243.0,274.0,82.0,142.0,0.0,4.9
1,6,3,2013,213.0,239.0,76.0,137.0,0.0,4.8
2,6,3,2013,200.0,220.0,62.0,134.0,0.0,4.1
3,6,3,2013,206.0,233.0,62.0,130.0,0.0,4.0
4,6,3,2013,217.0,248.0,66.0,123.0,0.0,3.9
5,6,3,2013,216.0,234.0,63.0,121.0,0.0,4.1
6,6,3,2013,193.0,227.0,63.0,119.0,0.0,4.5
7,6,3,2013,198.0,241.0,62.0,114.0,0.0,5.7
8,6,3,2013,205.0,260.0,97.0,117.0,0.0,6.6
9,6,3,2013,212.0,274.0,104.0,104.0,0.0,7.5
10,6,3,2013,200.0,254.0,109.0,108.0,0.0,8.7
11,6,3,2013,218.0,278.0,124.0,116.0,0.0,10.1
12,6,3,2013,221.0,285.0,118.0,122.0,0.0,11.1
13,6,3,2013,246.0,295.0,118.0,127.0,0.0,12.6
14,6,3,2013,246.0,273.0,118.0,125.0,0.0,14.5
15,6,3,2013,239.0,259.0,137.0,134.0,0.0,14.7
16,6,3,2013,249.0,298.0,138.0,158.0,0.0,14.2
17,6,3,2013,259.0,330.0,141.0,152.0,0.0,11.6
18,6,3,2013,248.0,311.0,136.0,147.0,0.0,6.8
19,6,3,2013,244.0,317.0,130.0,146.0,0.0,5.1
20,6,3,2013,251.0,332.0,134.0,146.0,0.0,4.4
21,6,3,2013,253.0,313.0,126.0,141.0,0.0,3.8
22,6,3,2013,266.0,322.0,133.0,138.0,0.0,2.4
23,6,3,2013,266.0,328.0,104.0,129.0,0.0,2.3
